kode_produk,nama,harga,deskripsi
P00001,Pulsa Axis paket SMS puas,Rp7000,Pulsa Axis paket SMS puas bonus kuota 2 GB 24 jam
P00002,Pulsa Axis ,Rp12000,Pulsa Axis  
P00003,Pulsa IM3 kuota 3 GB malam,Rp27000,Pulsa IM3 kuota 3 GB malam 
P00004,Pulsa IM3 kuota 1 GB malam,Rp52000,Pulsa IM3 kuota 1 GB malam 
P00005,Pulsa Bolt ,Rp102000,Pulsa Bolt  
P00006,Pulsa Telkomsel kuota unlimited,Rp152000,Pulsa Telkomsel kuota unlimited 
P00007,Pulsa IM3 ,Rp202000,Pulsa IM3  bonus nelpon 200 menit
P00008,Pulsa Bolt ,Rp7000,Pulsa Bolt  
P00009,Pulsa Mentari ,Rp12000,Pulsa Mentari  bonus nelpon 200 menit
P000010,Pulsa Three paket SMS sesama,Rp27000,Pulsa Three paket SMS sesama 
P000011,Pulsa Bolt ,Rp52000,Pulsa Bolt  
P000012,Pulsa Mentari ,Rp102000,Pulsa Mentari  bonus nelpon 200 menit
P000013,Pulsa Simpati ,Rp152000,Pulsa Simpati  
P000014,Pulsa Mentari ,Rp202000,Pulsa Mentari  bonus kuota 3 GB
P000015,Pulsa Simpati kuota 3 GB,Rp7000,Pulsa Simpati kuota 3 GB 
P000016,Pulsa Bolt ,Rp12000,Pulsa Bolt  
P000017,Pulsa Axis ,Rp27000,Pulsa Axis  
P000018,Pulsa Telkomsel ,Rp52000,Pulsa Telkomsel  
P000019,Pulsa Simpati ,Rp102000,Pulsa Simpati  bonus kuota 2 GB 24 jam
P000020,Pulsa Bolt paket WiFi,Rp152000,Pulsa Bolt paket WiFi 
P000021,Pulsa Telkomsel paket WiFi,Rp202000,Pulsa Telkomsel paket WiFi 
P000022,Pulsa Axis kuota 2 GB,Rp7000,Pulsa Axis kuota 2 GB 
P000023,Pulsa Simpati kuota 1 GB malam,Rp12000,Pulsa Simpati kuota 1 GB malam 
P000024,Pulsa Smart Fren paket nelpon puas,Rp27000,Pulsa Smart Fren paket nelpon puas 
P000025,Pulsa Telkomsel ,Rp52000,Pulsa Telkomsel  
P000026,Pulsa Simpati ,Rp102000,Pulsa Simpati  
P000027,Pulsa Simpati kuota 1 GB malam,Rp152000,Pulsa Simpati kuota 1 GB malam 
P000028,Pulsa Axis kuota 2 GB,Rp202000,Pulsa Axis kuota 2 GB 
P000029,Pulsa Telkomsel kuota 2 GB,Rp7000,Pulsa Telkomsel kuota 2 GB bonus kuota 3 GB
P000030,Pulsa Mentari ,Rp12000,Pulsa Mentari  
P000031,Pulsa Mentari kuota unlimited,Rp27000,Pulsa Mentari kuota unlimited bonus kuota 3 GB
P000032,Pulsa Simpati ,Rp52000,Pulsa Simpati  bonus nelpon 200 menit
P000033,Pulsa Bolt ,Rp102000,Pulsa Bolt  
P000034,Pulsa IM3 paket nelpon puas,Rp152000,Pulsa IM3 paket nelpon puas 
P000035,Pulsa Axis ,Rp202000,Pulsa Axis  
P000036,Pulsa Bolt kuota unlimited,Rp7000,Pulsa Bolt kuota unlimited 
P000037,Pulsa Mentari kuota 3 GB malam,Rp12000,Pulsa Mentari kuota 3 GB malam 
P000038,Pulsa Mentari kuota 3 GB,Rp27000,Pulsa Mentari kuota 3 GB 
P000039,Pulsa Bolt ,Rp52000,Pulsa Bolt  
P000040,Pulsa Mentari paket WiFi,Rp102000,Pulsa Mentari paket WiFi 
P000041,Pulsa Axis kuota 3 GB,Rp152000,Pulsa Axis kuota 3 GB 
P000042,Pulsa Simpati ,Rp202000,Pulsa Simpati  
P000043,Pulsa Smart Fren kuota 2 GB,Rp7000,Pulsa Smart Fren kuota 2 GB 
