kode_produk,nama,harga,deskripsi
S00001,heuristic Perlengkapan Jahit Goldenrod ,904880,"heuristic Perlengkapan Jahit Goldenrod  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S00002,time-frame Perawatan Wajah Orange ,203572,"time-frame Perawatan Wajah Orange  Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
S00003,"Team-oriented Perawatan Tangan, Kaki dan Kuku Pink ",1129132,"Team-oriented Perawatan Tangan, Kaki dan Kuku Pink  Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
S00004,incremental Basket Teal ,564833,"incremental Basket Teal  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S00005,database Atasan Maroon ,19224,"database Atasan Maroon  Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
S00006,even-keeled Laptop Teal ,969082,"even-keeled Laptop Teal  Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
S00007,Inverse Buku Sekolah Khaki ,990152,"Inverse Buku Sekolah Khaki  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S00008,Stand-alone Tas Anak Orange ,935737,"Stand-alone Tas Anak Orange  Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
S00009,grid-enabled Perhiasan Anak Violet ,786514,grid-enabled Perhiasan Anak Violet  Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
S000010,hardware Diet & Vitamin Violet ,627870,"hardware Diet & Vitamin Violet  Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
S000011,bi-directional Dress Yellow ,432216,bi-directional Dress Yellow  Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
S000012,Re-engineered Outerwear Aquamarine ,341459,Re-engineered Outerwear Aquamarine  Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
S000013,zero defect Perlengkapan Jahit Pink ,920341,zero defect Perlengkapan Jahit Pink  In congue. Etiam justo. Etiam pretium iaculis justo.
S000014,next generation Setelan Muslim Mauv ,1119197,next generation Setelan Muslim Mauv  In congue. Etiam justo. Etiam pretium iaculis justo.
S000015,leverage Makanan Pink ,454920,leverage Makanan Pink  Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
S000016,Profit-focused Aksesoris Turquoise ,262052,Profit-focused Aksesoris Turquoise  Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
