no_invoice,kode_produk,berat,kuantitas,harga,sub_total
V0000339,S000075,9,4,210648,3549000
V0000182,S0000117,2,2,595375,4578000
V0000298,S0000176,3,9,588149,3447000
V0000463,S000056,1,8,793166,2375000
V000014,S00007,8,7,825127,6551000
V0000339,S0000160,6,6,150634,3549000
V000043,S000078,3,1,292372,6063000
V000046,S000085,8,6,966700,6498000
V0000306,S000040,10,10,451419,653000
V0000492,S000050,5,6,611213,9215000
V0000111,S000043,9,1,917810,2155000
V0000403,S0000164,6,10,247144,5479000
V0000213,S0000102,2,2,6416,7111000
V0000313,S000037,4,3,104770,3688000
V0000130,S000086,3,8,301903,4243000
V0000259,S0000242,5,9,474150,9011000
V000044,S0000144,9,9,90059,2965000
V0000172,S0000135,7,3,826060,421000
V0000291,S0000106,6,3,835538,8414000
V0000319,S0000177,10,2,781962,1551000
V0000405,S000074,4,10,859771,2629000
V000066,S000034,6,3,710282,4086000
V0000148,S0000209,1,4,951637,3323000
V0000158,S0000170,7,4,140729,6917000
V0000146,S0000235,4,6,509335,2642000
V00007,S0000151,1,4,293586,5267000
V0000175,S0000114,7,8,882536,8391000
V0000129,S0000202,8,2,381269,8048000
V0000303,S0000231,6,8,149737,7442000
V0000290,S000053,7,3,609660,4542000
V0000275,S000057,8,4,597836,5580000
V0000131,S0000129,10,5,950593,5585000
V0000201,S0000244,10,1,635633,3270000
V000073,S000028,3,2,193935,1011000
V000038,S000055,5,3,360221,4920000
V0000148,S0000106,6,10,835538,3323000
V0000129,S000093,3,2,135186,8048000
V0000300,S000012,1,7,284549,5517000
V0000435,S0000250,2,3,744079,7914000
V00001,S0000226,2,1,114249,4074000
V0000415,S0000114,7,6,882536,109000
V0000209,S0000141,2,6,247401,3807000
V0000362,S0000127,4,10,205371,8899000
V0000433,S0000236,6,5,865708,5042000
V0000271,S0000250,3,7,744079,8721000
V0000381,S0000241,9,9,782966,9963000
V0000211,S000017,7,8,173318,7844000
V0000334,S0000181,3,3,734851,9191000
V0000288,S0000232,3,5,11804,1211000
V000053,S0000216,7,10,122362,4231000
V0000472,S000098,9,6,602906,8670000
V0000134,S0000147,5,8,877351,2495000
V000094,S000017,3,2,173318,1627000
V0000125,S0000182,10,6,256560,7679000
V000086,S000094,3,4,360121,8029000
V0000129,S0000216,9,2,122362,8048000
V0000232,S0000169,1,6,659235,6565000
V000069,S0000142,9,6,289898,4804000
V00003,S0000132,4,1,400171,1123000
V0000454,S000043,10,10,917810,9585000
V0000326,S000076,2,7,361822,8510000
V00009,S0000222,5,7,593023,5860000
V0000391,S0000225,3,4,235421,1532000
V0000107,S000063,7,6,554,947000
V0000261,S0000107,5,4,688007,4391000
V0000467,S0000212,10,10,495617,338000
V0000174,S0000185,1,6,918522,4131000
V000039,S0000118,1,3,583138,3885000
V0000264,S000037,5,8,104770,911000
V0000158,S0000197,5,9,69687,6917000
V0000261,S000033,10,10,658266,4391000
V0000333,S0000248,1,5,93555,9948000
V0000292,S0000124,5,3,903018,725000
V000062,S0000175,7,8,115761,2375000
V0000349,S0000170,3,9,140729,6118000
V000033,S00004,9,9,470694,173000
V0000358,S0000114,7,7,882536,1324000
V0000174,S000031,9,5,359577,4131000
V0000419,S000023,8,4,630680,6062000
V0000391,S0000111,5,4,344071,1532000
V0000469,S000050,9,10,611213,5926000
V0000389,S000046,7,1,338218,6051000
V0000498,S000057,1,8,597836,551000
V0000477,S0000109,1,2,23674,7462000
V00004,S0000190,8,5,942849,3756000
V0000489,S0000165,4,7,338832,5097000
V0000112,S000086,6,4,301903,1934000
V0000231,S0000117,9,8,595375,3632000
V000039,S0000143,6,10,658589,3885000
V0000233,S0000217,3,3,193002,3689000
V000085,S000077,5,8,939216,7254000
V0000185,S0000129,8,8,950593,170000
V0000384,S0000194,4,8,873946,3247000
V0000485,S0000113,8,8,279266,8197000
V0000427,S0000190,9,6,942849,9396000
V000096,S0000190,9,9,942849,3201000
V0000235,S0000118,3,8,583138,8564000
V0000461,S000031,5,9,359577,5288000
V0000209,S000079,5,1,797783,3807000
V000030,S000057,9,6,597836,9254000
V0000393,S0000190,4,10,942849,1032000
V0000107,S0000167,1,3,955885,947000
V000082,S0000216,2,9,122362,9694000
V0000221,S0000243,8,9,902067,460000
V000087,S000031,5,10,359577,1323000
V000017,S0000128,8,1,888318,8165000
V0000304,S0000114,5,7,882536,2480000
V000098,S0000201,6,10,480700,5953000
V0000102,S0000245,3,2,268609,1449000
V0000332,S0000215,7,9,918114,708000
V000095,S000092,9,3,294908,934000
V0000169,S000037,2,3,104770,4660000
V0000287,S000039,5,10,929519,8238000
V0000342,S0000193,3,4,875495,868000
V0000208,S0000231,4,10,149737,8962000
V000086,S000065,2,9,592870,8029000
V0000150,S0000216,3,3,122362,5179000
V0000455,S000096,4,5,468631,3978000
V0000189,S0000168,10,4,934926,3873000
V0000250,S0000114,10,7,882536,2446000
V0000247,S0000160,3,1,150634,8290000
V0000196,S0000155,9,5,208067,5100000
V0000251,S0000139,1,10,3485,4695000
V0000167,S0000207,2,10,843223,9234000
V0000108,S000084,7,8,772416,9398000
V0000402,S0000205,7,9,844098,3067000
V0000458,S000066,9,9,892876,5061000
V0000477,S000068,6,8,583853,7462000
V0000126,S000030,6,10,185796,8623000
V0000249,S0000176,9,9,588149,8988000
V0000321,S0000113,6,6,279266,743000
V0000485,S0000162,5,1,43628,8197000
V0000383,S0000232,8,10,11804,7290000
V0000350,S00004,7,6,470694,7515000
V0000445,S0000139,10,8,3485,5158000
V0000154,S0000192,2,2,902721,1980000
V000079,S000046,2,7,338218,563000
V0000500,S0000176,9,5,588149,5351000
V0000115,S000037,7,7,104770,59000
V0000172,S0000102,7,8,6416,421000
V0000235,S0000179,1,5,313830,8564000
V0000383,S0000167,8,10,955885,7290000
V0000488,S000057,8,4,597836,2535000
V0000283,S000048,1,7,544664,9232000
V0000100,S0000152,5,4,58225,6292000
V0000421,S0000152,1,7,58225,5856000
V0000243,S000018,2,3,248384,6147000
V0000403,S000023,7,6,630680,5479000
V000019,S0000105,10,7,194202,2695000
V000066,S000058,7,2,318891,4086000
V0000230,S0000227,7,6,947455,2808000
V0000162,S0000200,9,7,438617,6402000
V0000420,S000065,6,1,592870,3962000
V0000286,S000077,8,5,939216,5411000
V0000210,S0000172,8,1,365621,5084000
V0000228,S0000200,6,4,438617,2963000
V0000332,S0000237,10,4,694090,708000
V0000453,S0000191,10,3,273435,2195000
V000043,S0000167,8,1,955885,6063000
V000027,S000048,4,4,544664,8238000
V000011,S0000223,5,2,912544,5901000
V0000208,S000087,6,9,760984,8962000
V0000473,S0000121,4,5,425952,8651000
V0000363,S0000244,9,2,635633,5097000
V0000132,S0000145,6,1,271759,853000
V000055,S0000217,1,6,193002,2253000
V0000244,S0000159,9,3,819865,3351000
V0000155,S0000245,3,3,268609,788000
V0000146,S0000192,10,1,902721,2642000
V0000148,S0000178,9,1,633218,3323000
V0000374,S0000190,4,5,942849,5024000
V000079,S0000232,5,4,11804,563000
V0000237,S0000171,8,7,875127,7002000
V0000382,S000072,5,7,753044,5484000
V0000406,S0000205,2,9,844098,1813000
V0000332,S000032,5,2,92195,708000
V0000470,S00008,2,5,779781,1481000
V0000142,S0000151,2,9,293586,7666000
V000098,S0000247,7,4,266902,5953000
V0000449,S0000151,10,2,293586,7130000
V0000406,S0000134,10,2,796207,1813000
V0000347,S000068,5,4,583853,598000
V000028,S0000236,6,10,865708,4772000
V0000492,S000090,6,3,981861,9215000
V0000159,S0000189,3,8,462431,5693000
V0000464,S0000210,9,8,908350,8949000
V0000108,S000028,2,4,193935,9398000
V0000124,S0000234,8,9,124374,5336000
V0000198,S0000198,9,7,396607,8969000
V0000351,S000098,6,10,602906,7865000
V0000431,S0000145,2,7,271759,9824000
V0000115,S0000138,4,2,412255,59000
V0000347,S000034,1,4,710282,598000
V0000266,S0000111,2,9,344071,8036000
V0000375,S0000141,9,3,247401,8899000
V0000155,S0000208,7,7,478724,788000
V0000289,S000057,2,4,597836,6109000
V0000432,S000039,2,6,929519,8292000
V000058,S0000175,8,7,115761,4202000
V0000435,S000097,3,9,761494,7914000
V000022,S0000204,2,7,587837,7622000
V0000316,S000023,10,5,630680,112000
V0000263,S000090,5,10,981861,8326000
V0000469,S0000116,7,10,328460,5926000
V0000425,S0000159,6,3,819865,368000
V0000268,S0000242,1,6,474150,2879000
V0000255,S000020,10,7,21690,8396000
V0000126,S0000173,10,2,277515,8623000
V0000298,S000082,1,4,735757,3447000
V0000110,S000069,4,1,37235,4462000
V0000343,S000019,9,5,192485,5397000
V0000300,S000017,6,9,173318,5517000
V0000164,S000043,7,9,917810,4096000
V0000384,S000070,4,8,285708,3247000
V000052,S000091,3,10,283341,4322000
V000080,S0000168,7,6,934926,8790000
V0000463,S0000167,7,1,955885,2375000
V0000448,S000071,3,7,176879,4689000
V0000282,S0000125,4,8,176104,8184000
V0000202,S0000142,4,8,289898,6930000
V0000243,S000026,2,10,625885,6147000
V0000419,S000072,2,7,753044,6062000
V0000339,S0000127,4,2,205371,3549000
V0000493,S0000215,3,8,918114,7903000
V0000287,S000063,7,2,554,8238000
V0000128,S0000171,3,8,875127,6354000
V0000246,S00008,1,4,779781,9209000
V0000414,S000062,8,7,804056,4430000
V0000498,S0000161,2,2,704054,551000
V0000100,S0000213,1,1,704486,6292000
V0000439,S000079,3,8,797783,2330000
V000091,S000077,10,5,939216,2236000
V0000106,S0000240,4,10,583093,4509000
V0000454,S0000105,10,8,194202,9585000
V000094,S0000222,6,6,593023,1627000
V000063,S0000240,7,10,583093,4394000
V00006,S0000213,1,8,704486,7286000
V0000392,S000060,10,10,695695,3152000
V000077,S000011,8,8,360180,4289000
V0000249,S00007,9,7,825127,8988000
V000072,S000013,9,2,766951,9377000
V0000490,S000077,4,3,939216,3437000
V0000469,S000011,9,9,360180,5926000
V0000486,S0000242,5,3,474150,2545000
V0000411,S0000225,7,5,235421,3259000
V0000187,S000045,5,5,447138,2544000
V0000113,S00006,2,1,807568,5531000
V000010,S0000143,7,1,658589,2078000
V000039,S000062,9,1,804056,3885000
V0000104,S000079,8,2,797783,9783000
V0000387,S000064,9,6,73363,4024000
V0000326,S0000126,6,1,760092,8510000
V0000415,S00001,1,2,754067,109000
V0000487,S000097,9,6,761494,3249000
V0000337,S0000162,3,4,43628,228000
V0000283,S000036,1,5,271392,9232000
V0000442,S0000134,3,4,796207,5605000
V000073,S000038,8,2,172468,1011000
V0000109,S000085,6,2,966700,181000
V0000260,S0000162,3,10,43628,4924000
V0000368,S00007,10,1,825127,2742000
V0000434,S000071,2,1,176879,8070000
V0000231,S000045,6,7,447138,3632000
V000095,S000075,9,3,210648,934000
V0000154,S0000117,6,8,595375,1980000
V0000378,S000025,7,6,317629,9223000
V0000302,S0000119,1,1,600809,677000
V0000240,S000023,5,9,630680,8952000
V000030,S0000178,10,9,633218,9254000
V0000399,S0000142,7,1,289898,7349000
V0000300,S0000143,10,9,658589,5517000
V0000191,S0000155,7,7,208067,8324000
V0000334,S0000108,9,6,704199,9191000
V0000138,S0000236,5,8,865708,8580000
V0000278,S0000132,7,10,400171,8801000
V000084,S000068,7,1,583853,4284000
V000076,S0000148,3,7,850812,7257000
V0000289,S000022,6,8,456179,6109000
V0000471,S0000109,10,3,23674,9726000
V0000373,S000050,3,1,611213,8898000
V000025,S000038,1,5,172468,8930000
V000075,S0000210,7,6,908350,4782000
V0000172,S0000182,2,3,256560,421000
V0000270,S0000119,3,2,600809,265000
V0000491,S000066,6,1,892876,2335000
V00004,S0000147,7,5,877351,3756000
V0000219,S0000192,3,2,902721,29000
V000057,S0000210,6,6,908350,2329000
V0000171,S0000204,4,1,587837,504000
V0000180,S0000192,6,4,902721,764000
V000036,S0000172,6,8,365621,6533000
V0000497,S000040,8,9,451419,2792000
V0000432,S0000221,7,6,967645,8292000
V0000257,S0000202,10,6,381269,9898000
V0000124,S0000241,10,10,782966,5336000
V0000434,S000061,1,8,597925,8070000
V000065,S000093,8,8,135186,7439000
V00002,S000056,9,5,793166,6690000
V0000263,S0000248,4,7,93555,8326000
V0000263,S0000166,2,3,698576,8326000
V000024,S0000223,10,10,912544,963000
V0000454,S0000145,3,6,271759,9585000
V0000418,S000075,3,4,210648,1113000
V0000156,S0000207,9,8,843223,7120000
V00004,S0000168,6,6,934926,3756000
V0000201,S0000248,4,10,93555,3270000
V0000110,S00004,6,8,470694,4462000
V0000171,S0000222,6,6,593023,504000
V000083,S0000248,1,10,93555,8546000
V0000369,S000090,2,1,981861,1259000
V0000376,S0000231,3,8,149737,2715000
V0000497,S000015,4,5,379100,2792000
V0000343,S000053,4,8,609660,5397000
V00003,S0000144,6,8,90059,1123000
V0000345,S000045,8,9,447138,532000
V000078,S0000177,1,10,781962,920000
V0000245,S000036,9,4,271392,4462000
V0000315,S00008,9,5,779781,5440000
V0000230,S0000181,3,1,734851,2808000
V0000143,S0000182,10,10,256560,5554000
V0000127,S000020,9,5,21690,3574000
V00009,S000046,9,8,338218,5860000
V00002,S000039,3,10,929519,6690000
V0000286,S000097,9,8,761494,5411000
V0000380,S000088,3,10,468264,6726000
V0000183,S0000245,5,4,268609,2570000
V0000121,S000049,4,9,232876,7597000
V0000490,S0000227,4,9,947455,3437000
