kode_produk,kategori,nama_toko,is_asuransi,stok,is_baru,min_order,min_grosir,max_grosir,harga_grosir,foto
S00001,SK056,explicit Clothing,false,342,true,5,48,65,889230,Sapien.png
S00002,SK040,analyzer Computer,true,521,true,3,24,98,369089,NecSemDuis.png
S00003,SK050,asynchronous Industrial,true,406,true,10,41,96,421035,EtUltrices.gif
S00004,SK068,Robust Garden,true,943,true,15,38,84,791828,NonMattis.gif
S00005,SK022,Organic Electronics,true,864,true,6,21,67,499721,UtNullaSed.tiff
S00006,SK040,Future-proofed Toys,false,517,false,20,23,52,959614,InEst.tiff
S00007,SK017,empowering Books,false,666,false,9,21,82,833877,Vel.tiff
S00008,SK059,tertiary Home,true,195,true,7,43,97,701899,FaucibusOrci.gif
S00009,SK073,empowering Electronics,false,102,true,9,24,74,619377,AccumsanOdio.png
S000010,SK062,frame Computers,false,366,false,17,26,93,781012,PurusPhasellus.png
S000011,SK047,Future-proofed Toys,false,453,false,15,31,66,981651,InImperdiet.jpeg
S000012,SK003,knowledge base Games,true,883,false,10,50,51,552024,IpsumPrimis.gif
S000013,SK052,real-time Automotive,false,391,false,8,39,51,818722,Nunc.tiff
S000014,SK073,Advanced Baby,false,353,false,9,32,74,268002,MagnisDis.gif
S000015,SK035,conglomeration Jewelery,true,688,false,16,29,82,929177,SapienQuis.tiff
S000016,SK053,Re-contextualized Automotive,true,244,false,2,37,73,664863,Eget.tiff
S000017,SK072,system engine Computers,true,50,false,20,34,93,391484,Nulla.gif
S000018,SK021,Robust Garden,true,964,false,1,31,83,405937,NullaNislNunc.tiff
S000019,SK048,client-driven Garden,false,687,true,8,39,80,892725,LigulaSit.jpeg
S000020,SK032,asymmetric Baby,true,501,true,4,32,70,93264,RhoncusSed.gif
S000021,SK044,Stand-alone Outdoors,true,121,true,9,46,58,981965,PorttitorPede.gif
S000022,SK017,customer loyalty Movies,false,6,true,16,47,80,442744,MorbiNon.jpeg
S000023,SK008,task-force Garden,true,686,false,12,29,99,939925,OrciNullam.tiff
S000024,SK045,reciprocal Health,false,905,true,12,48,84,137899,FaucibusOrciLuctus.jpeg
S000025,SK037,conglomeration Jewelery,true,349,false,20,50,65,647108,Interdum.jpeg
